key,Model,seed,Recall@10,NDCG@10,Recall@20,NDCG@20,TailRecall@20,Coverage@20,ARP@20,TailExposure@20,MiddleExposure@20,HeadExposure@20
baseline,LightGCN,42,0.07126284390687943,0.03535357862710953,0.12794166803359985,0.04964783042669296,0.00560747692361474,0.39201811491650157,6.845614910125732,0.0013755386145177329,0.03900397746105403,0.9596204839244282
baseline,LightGCN,0,0.07424593716859818,0.03577948361635208,0.12877030670642853,0.049472685903310776,0.00560747692361474,0.40220775544862725,6.828993320465088,0.0015081206496519721,0.04023036128604574,0.9582615180643023
baseline,LightGCN,1,0.0720914825797081,0.035593412816524506,0.12926748394966125,0.049962595105171204,0.003738317871466279,0.39909425417492217,6.824611186981201,0.0014998342724560822,0.04017235664567451,0.9583278090818694
accuracy,PopAware-accuracy,42,0.07838913053274155,0.038038693368434906,0.13705667853355408,0.052730742841959,0.014953271485865116,0.5026889329181998,6.427669048309326,0.011252900232018562,0.0920036460059662,0.8967434537620153
accuracy,PopAware-accuracy,0,0.07623466849327087,0.037883657962083817,0.13225057721138,0.05194071680307388,0.01682243123650551,0.4438154542881404,6.5377888679504395,0.008717268810076235,0.06451773284719921,0.9267649983427245
accuracy,PopAware-accuracy,1,0.07656612247228622,0.037393055856227875,0.14070267975330353,0.053432393819093704,0.01121495384722948,0.4392867251627512,6.535367012023926,0.009123301292674843,0.06316705336426914,0.927709645343056
best,PopAware-BEST,42,0.0787205845117569,0.037806134670972824,0.13473649322986603,0.05183882638812065,0.029906542971730232,0.5578828191338806,6.3744707107543945,0.03216771627444481,0.09374378521710308,0.874088498508452
best,PopAware-BEST,0,0.07623466849327087,0.0378270298242569,0.12976466119289398,0.05125308781862259,0.028037384152412415,0.49702802151146336,6.4582133293151855,0.030527013589658602,0.07077394763009612,0.8986990387802453
best,PopAware-BEST,1,0.07623466849327087,0.03714276850223541,0.1368909478187561,0.052345845848321915,0.03925233706831932,0.560430229266912,6.365844249725342,0.033443818362611864,0.09165561816373881,0.8749005634736493
hightail,PopAware-high-tail,42,0.0773947611451149,0.03816533833742142,0.13539940118789673,0.0527128204703331,0.03738318011164665,0.5026889329181998,6.55945348739624,0.03522538945972821,0.053480278422273785,0.911294332117998
hightail,PopAware-high-tail,0,0.0787205845117569,0.03843546658754349,0.13274775445461273,0.05187300965189934,0.042990654706954956,0.48542315312765355,6.57494592666626,0.03821677162744448,0.049395094464700036,0.9123881339078554
hightail,PopAware-high-tail,1,0.0787205845117569,0.03799045458436012,0.1375538557767868,0.05273661017417908,0.03925233706831932,0.50891593546561,6.556276798248291,0.035399403380841896,0.053281405369572425,0.9113191912495857
fairness,PopAware-fairness,42,0.06496519595384598,0.03161146119236946,0.11004308611154556,0.042951129376888275,0.029906542971730232,0.7135578828191339,6.137474060058594,0.04787040106065628,0.11998674179648658,0.8321428571428572
fairness,PopAware-fairness,0,0.06098773702979088,0.03037128411233425,0.10059662163257599,0.0403016060590744,0.02242990769445896,0.710161335975092,6.138007640838623,0.04912164401723566,0.11855319854159761,0.8323251574411668
fairness,PopAware-fairness,1,0.0654623806476593,0.03116581402719021,0.10507126152515411,0.04112177714705467,0.029906542971730232,0.7166713840928389,6.139434814453125,0.04766324163075903,0.11680477295326483,0.8355319854159762
